,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
50,Client,228874,62043,3136160,276185,2916605,3534672,2897584,4141090,2086335,765610,1220523,1066816,12668256,9664241,13-07-2026
51,DII,78213,10880,339787,4278776,6036,32812,915,304,4291,35911,359648,11056,497050,4661579,13-07-2026
52,FII,32009,287122,3833241,3205416,507535,1075158,683709,620999,233101,348062,364076,224004,6029106,5385326,13-07-2026
53,Pro,50458,29509,922639,471450,1002009,1470340,849976,1350590,1089521,1067104,1469001,914811,5602071,5085336,13-07-2026
54,TOTAL,389554,389554,8231827,8231827,4432184,6112983,4432184,6112983,3413248,2216687,3413248,2216687,24796483,24796483,13-07-2026
55,Client,236786,57754,3165551,283269,1988310,1558376,1862244,2187395,2269314,763585,1259925,1109923,9981922,6760509,14-07-2026
56,DII,76373,10960,356748,4248154,6095,32414,830,154,4291,35740,398700,11704,511661,4670502,14-07-2026
57,FII,26671,292136,3783940,3237702,425667,815790,604801,317466,238754,366432,383025,231459,5657254,5066589,14-07-2026
58,Pro,48801,27781,964424,501538,716728,723668,668925,625233,1093582,1112376,1564291,925047,4659579,4312815,14-07-2026
59,TOTAL,388631,388631,8270663,8270663,3136800,3130248,3136800,3130248,3605941,2278133,3605941,2278133,20810416,20810416,14-07-2026
60,Client,230456,57864,3180859,296919,2468399,1859909,2356107,2510574,2376193,799482,1304567,1144374,10915298,7670405,15-07-2026
61,DII,76670,10920,379348,4242463,5990,32404,800,274,6015,35447,405655,11877,535874,4671989,15-07-2026
62,FII,26357,289069,3770340,3252827,454643,894399,684037,393471,247095,381573,402141,240518,5774407,5262063,15-07-2026
63,Pro,52300,27930,998927,537265,880391,801196,768480,683589,1115287,1136413,1632227,956146,4984514,4605637,15-07-2026
64,TOTAL,385783,385783,8329474,8329474,3809423,3587908,3809423,3587908,3744590,2352915,3744590,2352915,22210093,22210093,15-07-2026
65,Client,228686,59851,3179481,296958,2705275,2103936,2620666,2749094,2435365,832253,1341188,1168589,11484996,8236346,16-07-2026
66,DII,74619,10920,374634,4264717,7715,32404,0,214,4691,36141,411856,13788,530204,4701495,16-07-2026
67,FII,25419,275305,3784692,3250525,484524,915636,703407,427465,263460,394183,423850,253329,5867913,5333881,16-07-2026
68,Pro,46950,29598,1039156,565763,944098,891192,817538,766395,1136926,1154204,1663548,981075,5212526,4823916,16-07-2026
69,TOTAL,375674,375674,8377963,8377963,4141611,3943167,4141611,3943167,3840442,2416781,3840442,2416781,23095638,23095638,16-07-2026
70,Client,219094,73128,3158159,324434,2387972,3123046,2599692,3593778,2453961,870360,1364450,1200956,12212592,9156437,17-07-2026
71,DII,74763,15604,395684,4246695,7590,32374,26,164,4775,36207,417897,12862,551393,4693248,17-07-2026
72,FII,30554,247082,3780034,3226489,584454,1048195,653865,650336,289458,411527,441030,275812,6144222,5494614,17-07-2026
73,Pro,40283,28880,1072053,608312,1063247,1304060,789680,1263397,1184422,1188881,1709239,1017345,5852945,5416853,17-07-2026
74,TOTAL,364694,364694,8405930,8405930,4043263,5507675,4043263,5507675,3932616,2506975,3932616,2506975,24761152,24761152,17-07-2026
75,Client,215325,65941,3164722,312153,2859358,3159938,2963923,3777033,2540934,897321,1410599,1229221,12837597,9758870,20-07-2026
76,DII,74318,15512,394872,4252674,7640,33849,40,182,3170,36931,428228,14296,550780,4710932,20-07-2026
77,FII,25335,245158,3764392,3210689,538235,1038902,688092,628369,307340,443144,470436,289608,6117349,5532352,20-07-2026
78,Pro,46089,34456,1090966,639436,1111291,1323625,864469,1150730,1233923,1206148,1776104,1050419,6012042,5515614,20-07-2026
79,TOTAL,361067,361067,8414952,8414952,4516524,5556314,4516524,5556314,4085367,2583544,4085367,2583544,25517768,25517768,20-07-2026
80,Client,214933,66852,3211868,322286,2226814,1721080,2080039,2330256,2615938,882121,1439173,1264269,10872754,7502875,21-07-2026
81,DII,91039,15512,397830,4247390,7715,33897,30,182,3135,40123,434337,14320,573739,4711771,21-07-2026
82,FII,23712,252559,3764692,3240746,472444,871686,642499,362759,302032,452527,480099,288309,5887094,5266971,21-07-2026
83,Pro,41021,35782,1127312,691280,724714,779626,709118,713092,1235041,1234638,1802537,1042511,5142352,4994321,21-07-2026
84,TOTAL,370705,370705,8501702,8501702,3431687,3406289,3431687,3406289,4156146,2609409,4156146,2609409,22475938,22475938,21-07-2026
85,Client,227949,63366,3224508,333164,3016955,2004385,2844682,2696167,2650670,884283,1450033,1289420,12008750,8676833,22-07-2026
86,DII,89529,15707,401268,4222046,7815,34284,120,182,3948,39753,436026,13683,576597,4687764,22-07-2026
87,FII,24436,276140,3772145,3261469,588956,1009374,837929,464966,296141,460314,484378,290769,6151367,5615651,22-07-2026
88,Pro,44801,31502,1163936,745178,1084005,897069,1015000,783797,1248634,1280350,1828956,1070828,5718795,5475261,22-07-2026
89,TOTAL,386715,386715,8561857,8561857,4697731,3945113,4697731,3945113,4199393,2664700,4199393,2664700,24455509,24455509,22-07-2026
90,Client,232911,65424,3196204,316879,3445334,2142806,3278282,2912153,2585785,881659,1428436,1284204,12484698,9285379,23-07-2026
91,DII,83066,15760,403988,4228114,7815,35354,225,185,3941,40517,440140,14979,574681,4699403,23-07-2026
92,FII,24274,287356,3753431,3206282,618665,1037634,933152,491106,287043,462095,468711,280391,6183142,5666999,23-07-2026
93,Pro,60363,32074,1049022,651370,1233629,957379,1093784,769727,1243157,1293427,1782639,1098124,5836978,5427718,23-07-2026
94,TOTAL,400614,400614,8402645,8402645,5305443,4173172,5305443,4173172,4119926,2677698,4119926,2677698,25079499,25079499,23-07-2026
95,Client,239763,63265,3192332,278253,3506533,2630865,3461767,3333756,2491560,842003,1376379,1243565,12903057,9756985,24-07-2026
96,DII,80806,15678,406764,4311708,7815,41274,275,225,4572,37206,438114,15569,578437,4781569,24-07-2026
97,FII,28237,299084,3754752,3180040,681831,1125560,940641,590382,263541,462387,480276,268634,6316307,5759057,24-07-2026
98,Pro,64445,35224,975847,559694,1325852,1056485,1119349,929820,1226600,1262397,1691504,1076225,5911626,5411816,24-07-2026
99,TOTAL,413251,413251,8329695,8329695,5522031,4854184,5522031,4854184,3986273,2603993,3986273,2603993,25709427,25709427,24-07-2026
100,Client,230926,61733,3186895,288415,3446702,3189753,3380079,3844111,2294175,844028,1302463,1188593,13192479,10065394,27-07-2026
101,DII,80730,15645,420312,4350550,7770,50746,235,225,3210,38913,424580,14998,601681,4806233,27-07-2026
102,FII,28429,295354,3745860,3094669,693833,1124890,919371,642841,233384,409618,446293,232750,6236014,5631278,27-07-2026
103,Pro,65692,33045,922798,542231,1233529,1269977,1082150,1148189,1211879,1206111,1569312,1062329,5909986,5437256,27-07-2026
104,TOTAL,405777,405777,8275865,8275865,5381835,5635365,5381835,5635365,3742648,2498670,3742648,2498670,25940160,25940160,27-07-2026
105,Client,205837,52584,3072856,194452,1757449,1373039,1568403,1996366,1061765,457117,649152,709131,7928063,5170088,28-07-2026
106,DII,70112,15641,258616,4199595,3360,38202,80,125,964,32133,76768,4478,403387,4296687,28-07-2026
107,FII,21862,227463,3515193,2950984,304843,733568,552390,211668,61979,112413,109843,49406,4749858,4101754,28-07-2026
108,Pro,20281,22404,817070,318704,532086,553144,476865,489794,433001,601419,721946,440067,2957002,2469780,28-07-2026
109,TOTAL,318092,318092,7663735,7663735,2597738,2697954,2597738,2697954,1557709,1203082,1557709,1203082,16038310,16038310,28-07-2026
